path,line,category,excerpt
astar/ASearchNode.java,2,path_request,package astar;
astar/AStar.java,2,path_request,package astar;
astar/AStar.java,4,path_request,import astar.datastructures.ClosedSet;
astar/AStar.java,5,path_request,import astar.datastructures.ClosedSetHash;
astar/AStar.java,6,path_request,import astar.datastructures.IClosedSet;
astar/AStar.java,7,path_request,import astar.datastructures.IOpenSet;
astar/AStar.java,8,path_request,import astar.datastructures.OpenSet;
astar/AStar.java,12,path_request,public class AStar {
astar/AStar.java,17,allocation_in_hot,private ArrayList<ISearchNode> successorNodes = new ArrayList<>();
astar/AStar.java,18,path_request,private final IOpenSet openSet = new OpenSet(new AStar.SearchNodeComparator());
astar/AStar.java,19,path_request,private final IClosedSet closedSetHash = new ClosedSetHash(new AStar.SearchNodeComparator());
astar/AStar.java,20,path_request,private final IClosedSet closedSetNoHash = new ClosedSet(new AStar.SearchNodeComparator());
astar/AStar.java,81,allocation_in_hot,ArrayList arrayList = new ArrayList();
astar/IGoalNode.java,2,path_request,package astar;
astar/ISearchNode.java,2,path_request,package astar;
astar/datastructures/ClosedSet.java,2,path_request,package astar.datastructures;
astar/datastructures/ClosedSet.java,4,path_request,import astar.ISearchNode;
astar/datastructures/ClosedSet.java,10,allocation_in_hot,private ArrayList<ISearchNode> list = new ArrayList<>();
astar/datastructures/ClosedSetHash.java,2,path_request,package astar.datastructures;
astar/datastructures/ClosedSetHash.java,4,path_request,import astar.ISearchNode;
astar/datastructures/HashPriorityQueue.java,2,path_request,package astar.datastructures;
astar/datastructures/HashPriorityQueue.java,10,allocation_in_hot,"HashMap<K, V> hashMap = new HashMap<>();"
astar/datastructures/IClosedSet.java,2,path_request,package astar.datastructures;
astar/datastructures/IClosedSet.java,4,path_request,import astar.ISearchNode;
astar/datastructures/IOpenSet.java,2,path_request,package astar.datastructures;
astar/datastructures/IOpenSet.java,4,path_request,import astar.ISearchNode;
astar/datastructures/OpenSet.java,2,path_request,package astar.datastructures;
astar/datastructures/OpenSet.java,4,path_request,import astar.ISearchNode;
astar/datastructures/OpenSet.java,15,allocation_in_hot,this.QA = new ArrayList<>(1000);
astar/datastructures/OpenSetHash.java,2,path_request,package astar.datastructures;
astar/datastructures/OpenSetHash.java,4,path_request,import astar.ISearchNode;
astar/tests/AStarTest.java,2,path_request,package astar.tests;
astar/tests/AStarTest.java,4,path_request,import astar.AStar;
astar/tests/AStarTest.java,5,path_request,import astar.ISearchNode;
astar/tests/AStarTest.java,10,path_request,public class AStarTest {
astar/tests/AStarTest.java,15,path_request,"ArrayList arrayList = new AStar().shortestPath(searchNode2D, goalNode2D);"
astar/tests/AStarTest.java,22,path_request,"ArrayList arrayList = new AStar().shortestPath(searchNodeCity, new GoalNodeCity(""W\u00c3\u00bcrzburg""));"
astar/tests/DatastructuresTest.java,2,path_request,package astar.tests;
astar/tests/DatastructuresTest.java,4,path_request,import astar.datastructures.HashPriorityQueue;
